name,country
Bedfordshire,England
Berkshire,England
Buckinghamshire,England
Cambridgeshire,England
Cheshire,England
Cornwall,England
County Durham,England
Cumbria,England
Derbyshire,England
Devon,England
Dorset,England
East Sussex,England
Essex,England
Gloucestershire,England
Greater London,England
Greater Manchester,England
Hampshire,England
Herefordshire,England
Hertfordshire,England
Isle of Man,England
Kent,England
Lancashire,England
Leicestershire,England
Lincolnshire,England
Merseyside,England
Norfolk,England
North Yorkshire,England
Northamptonshire,England
Northumberland,England
Nottinghamshire,England
Oxfordshire,England
Rutland,England
Shropshire,England
Somerset,England
South Yorkshire,England
Staffordshire,England
Suffolk,England
Surrey,England
The City and County of Bristol,England
The East Riding of Yorkshire,England
the Isle of Wight,England
the West Midlands,England
Tyne and Wear,England
Warwickshire,England
West Sussex,England
West Yorkshire,England
Wiltshire,England
Worcestershire,England
Guernsey ,Islands
Jersey ,Islands
County Antrim,Northern Ireland
County Armagh,Northern Ireland
County Borough of Belfast,Northern Ireland
County Borough of Londonderry,Northern Ireland
County Down,Northern Ireland
County Fermanagh,Northern Ireland
County Tyrone,Northern Ireland
The City of Londonderry,Northern Ireland
Aberdeenshire,Scotland
Angus,Scotland
Argyll and Bute,Scotland
Ayrshire and Arran,Scotland
Banffshire,Scotland
Berwickshire,Scotland
Caithness,Scotland
Clackmannanshire,Scotland
Dumfries & Galloway,Scotland
Dunbartonshire,Scotland
East Lothian,Scotland
Fife,Scotland
Inverness,Scotland
Kincardineshire,Scotland
Lanarkshire,Scotland
Midlothian,Scotland
Moray,Scotland
Nairn,Scotland
Orkney,Scotland
Perth and Kinross,Scotland
Renfrewshire,Scotland
Ross and Cromarty,Scotland
Roxburgh Etterick and Lauderdale,Scotland
Shetland,Scotland
Stirling and Falkirk,Scotland
Sutherland,Scotland
the City of Aberdeen,Scotland
the City of Dundee,Scotland
the City of Edinburgh,Scotland
the City of Glasgow,Scotland
the Stewartry of Kirkcudbright,Scotland
the Western Isles,Scotland
Tweeddale,Scotland
West Lothian,Scotland
Wigtown,Scotland
Clwyd,Wales
Dyfed,Wales
Gwent,Wales
Gwynedd,Wales
Mid Glamorgan,Wales
Powys,Wales
South Glamorgan,Wales
West Glamorgan,Wales